id_transformador,data_amostragem,condicao_operacao,gas,valor_ppm
TR27,2025-04-28,Normal,Etano,2.0
TR27,2025-10-24,Normal,Etano,4.0
TR27,2026-04-23,Atenção,Etano,23.0
TR27,2026-06-08,Atenção,Etano,20.0
TR27,2021-05-04,Normal,Etileno,0.0
TR27,2021-05-04,Normal,Etileno,0.0
TR27,2021-05-04,Normal,Etileno,0.0
TR27,2021-11-18,Normal,Etileno,0.0
TR27,2021-11-18,Normal,Etileno,0.0
TR27,2021-11-18,Normal,Etileno,0.0
TR27,2022-11-06,Normal,Etileno,0.0
TR27,2023-04-20,Normal,Etileno,0.0
TR27,2023-10-22,Normal,Etileno,0.0
TR27,2024-04-23,Normal,Etileno,0.0
TR27,2024-10-28,Normal,Etileno,0.0
TR27,2025-04-28,Normal,Etileno,0.0
TR27,2025-10-24,Normal,Etileno,0.0
TR27,2026-04-23,Atenção,Etileno,6.0
TR27,2026-06-08,Atenção,Etileno,4.0
TR27,2021-05-04,Normal,Hidrogênio,8.0
TR27,2021-05-04,Normal,Hidrogênio,12.0
TR27,2021-05-04,Normal,Hidrogênio,4.0
TR27,2021-11-18,Normal,Hidrogênio,4.0
TR27,2021-11-18,Normal,Hidrogênio,8.0
TR27,2021-11-18,Normal,Hidrogênio,8.0
TR27,2022-11-06,Normal,Hidrogênio,1.0
TR27,2023-04-20,Normal,Hidrogênio,2.0
TR27,2023-10-22,Normal,Hidrogênio,4.0
TR27,2024-04-23,Normal,Hidrogênio,9.0
TR27,2024-10-28,Normal,Hidrogênio,9.0
TR27,2025-04-28,Normal,Hidrogênio,8.0
TR27,2025-10-24,Normal,Hidrogênio,9.0
TR27,2026-04-23,Atenção,Hidrogênio,12.0
TR27,2026-06-08,Atenção,Hidrogênio,5.0
TR27,2021-05-04,Normal,Metano,34.0
TR27,2021-05-04,Normal,Metano,41.0
TR27,2021-05-04,Normal,Metano,47.0
TR27,2021-11-18,Normal,Metano,47.0
TR27,2021-11-18,Normal,Metano,41.0
TR27,2021-11-18,Normal,Metano,89.0
TR27,2022-11-06,Normal,Metano,44.0
TR27,2023-04-20,Normal,Metano,40.0
TR27,2023-10-22,Normal,Metano,107.0
TR27,2024-04-23,Normal,Metano,78.0
TR27,2024-10-28,Normal,Metano,68.0
TR27,2025-04-28,Normal,Metano,142.0
TR27,2025-10-24,Normal,Metano,63.0
TR27,2026-04-23,Atenção,Metano,89.0
TR27,2026-06-08,Atenção,Metano,62.0
TR27,2021-05-04,Normal,Monóxido de Carbono,448.0
TR27,2021-05-04,Normal,Monóxido de Carbono,451.0
TR27,2021-05-04,Normal,Monóxido de Carbono,457.0
TR27,2021-11-18,Normal,Monóxido de Carbono,457.0
TR27,2021-11-18,Normal,Monóxido de Carbono,451.0
TR27,2021-11-18,Normal,Monóxido de Carbono,840.0
TR27,2022-11-06,Normal,Monóxido de Carbono,332.0
TR27,2023-04-20,Normal,Monóxido de Carbono,492.0
TR27,2023-10-22,Normal,Monóxido de Carbono,402.0
TR27,2024-04-23,Normal,Monóxido de Carbono,528.0
TR27,2024-10-28,Normal,Monóxido de Carbono,498.0
TR27,2025-04-28,Normal,Monóxido de Carbono,529.0
TR27,2025-10-24,Normal,Monóxido de Carbono,345.0
TR27,2026-04-23,Atenção,Monóxido de Carbono,470.0
TR27,2026-06-08,Atenção,Monóxido de Carbono,284.0
TR28,2020-06-24,Normal,Acetileno,0.0
TR28,2021-01-22,Normal,Acetileno,0.0
TR28,2021-09-15,Normal,Acetileno,0.0
TR28,2022-03-11,Normal,Acetileno,0.0
TR28,2022-08-29,Normal,Acetileno,0.0
TR28,2023-03-03,Normal,Acetileno,0.0
TR28,2023-08-18,Normal,Acetileno,0.0
TR28,2024-03-19,Normal,Acetileno,0.0
TR28,2024-10-29,Normal,Acetileno,0.0
TR28,2025-08-25,Normal,Acetileno,0.0
TR28,2026-04-09,Atenção,Acetileno,1.0
TR28,2020-06-24,Normal,Dióxido de Carbono,214.0
TR28,2021-01-22,Normal,Dióxido de Carbono,255.0
TR28,2021-09-15,Normal,Dióxido de Carbono,385.0
